FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr,a_count,contains_a
DE000MA43820,Mini Long Monster Beverage emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43879,Mini Long NVIDIA emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA438F6,Mini Long Constellation Brands emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA438M2,Mini Long Edwards Lifesciences emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA438S9,Mini Long Autodesk emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA438U5,Mini Long CSX emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA438V3,Mini Long CSX emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA438Z4,Mini Long Zillow Group emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA43960,Mini Long RingCentral emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43986,Mini Long Veeva Systems emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA439Y5,Open End Turbo Long Sberbank GDR emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA439Z2,Open End Turbo Long Petrobras emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43C27,Mini Long TeamViewer emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43DM9,Open End Turbo Long Nexans emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43EK1,Open End Turbo Long Maisons du Monde emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43FZ6,Open End Turbo Long Monster Beverage emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA440C9,X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA440D7,X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA440R7,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA440S5,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA440T3,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA44133,Mini Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44141,Mini Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44158,Mini Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44166,Mini Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44174,Mini Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44182,Mini Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA443G4,Turbo Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RWSNCE,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA444B3,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444C1,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444D9,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444N8,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444P3,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444Q1,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444R9,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444S7,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444T5,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444U3,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA444V1,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA446G7,Mini Long Dow Jones Industrial Average emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,5,YES
DE000MA44844,Mini Long Petrobras emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA448W0,Open End Turbo Long Kingsoft Cloud emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA44AX0,Open End Turbo Long CaixaBank emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,5,YES
DE000MA44B76,Open End Turbo Long Just Eat Takeaway.com emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,6,YES
DE000MA44BS8,Mini Long Carrier Global emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA44BW0,Mini Long solaredge emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44CB2,Mini Long Incyte emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA44D17,Open End Turbo Long Nike emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA44D90,Open End Turbo Long solaredge emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44DC8,Open End Turbo Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA44E32,Open End Turbo Long NVIDIA emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA44EK9,Open End Turbo Long CSX emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
